N,TL,TR,current_trail,thread_1,thread_2,thread_3,thread_4,thread_5,thread_6,thread_7,thread_8,Mean,std_div
Rate Function: sqrt(x*y/(x+y)),,,,,,,,,,,,,,
Test_1: Mean energy flux for changing length of the chain. Let N change from 2 to 100.,,,,,,,,,,,,,,
15,1,1.5,9,826.583,1054.86,1332.57,998.734,562.685,1502.9,1445.76,1003.92,0.0545501,
15,1,1.5,10,826.583,1054.86,1332.57,998.734,562.685,1502.9,1445.76,1003.92,0.0545501,
,,,,,,,,,,,,,=STDEV.S(M77:M86),
,,,,,,,,,,,,,,
15,1,2,1,2279.22,3465.64,3089.25,2138.43,2070.31,3114.42,2030.92,1593.48,0.123636,
15,1,2,2,2279.22,3465.64,3089.25,2138.43,2070.31,3114.42,2030.92,1593.48,0.123636,
15,1,2,3,2279.22,3465.64,3089.25,2138.43,2070.31,3114.42,2030.92,1593.48,0.123636,
15,1,2,4,2279.22,3465.64,3089.25,2138.43,2070.31,3114.42,2030.92,1593.48,0.123636,
15,1,2,5,2279.22,3465.64,3089.25,2138.43,2070.31,3114.42,2030.92,1593.48,0.123636,
15,1,2,6,2279.22,3465.64,3089.25,2138.43,2070.31,3114.42,2030.92,1593.48,0.123636,
15,1,2,7,2508.71,2993.4,2128.07,2406.5,2114.1,2860.63,2242.15,2684.24,0.124611,
15,1,2,8,2508.71,2993.4,2128.07,2406.5,2114.1,2860.63,2242.15,2684.24,0.124611,
15,1,2,9,2508.71,2993.4,2128.07,2406.5,2114.1,2860.63,2242.15,2684.24,0.124611,
15,1,2,10,2508.71,2993.4,2128.07,2406.5,2114.1,2860.63,2242.15,2684.24,0.124611,
,,,,,,,,,,,,,=STDEV.S(M89:M98),
,,,,,,,,,,,,,,
15,1,2.5,1,4324.17,3430.52,4588.02,3448.64,4050.1,4334.95,4239.71,3556.7,0.19983,
15,1,2.5,2,4324.17,3430.52,4588.02,3448.64,4050.1,4334.95,4239.71,3556.7,0.19983,
15,1,2.5,3,4324.17,3430.52,4588.02,3448.64,4050.1,4334.95,4239.71,3556.7,0.19983,
15,1,2.5,4,4324.17,3430.52,4588.02,3448.64,4050.1,4334.95,4239.71,3556.7,0.19983,
15,1,2.5,5,4324.17,3430.52,4588.02,3448.64,4050.1,4334.95,4239.71,3556.7,0.19983,
15,1,2.5,6,4209.98,3992.09,3874.37,3832.2,4378.94,3548.96,4433.94,4960.78,0.207695,
15,1,2.5,7,4209.98,3992.09,3874.37,3832.2,4378.94,3548.96,4433.94,4960.78,0.207695,
15,1,2.5,8,4209.98,3992.09,3874.37,3832.2,4378.94,3548.96,4433.94,4960.78,0.207695,
15,1,2.5,9,4209.98,3992.09,3874.37,3832.2,4378.94,3548.96,4433.94,4960.78,0.207695,
15,1,2.5,10,4209.98,3992.09,3874.37,3832.2,4378.94,3548.96,4433.94,4960.78,0.207695,
,,,,,,,,,,,,,=STDEV.S(M101:M110),
,,,,,,,,,,,,,,
15,1,3,1,7745.61,5483.88,5564.84,8330.65,5564.64,4671.1,6353.31,5007.62,0.30451,
15,1,3,2,7745.61,5483.88,5564.84,8330.65,5564.64,4671.1,6353.31,5007.62,0.30451,
15,1,3,3,7745.61,5483.88,5564.84,8330.65,5564.64,4671.1,6353.31,5007.62,0.30451,
15,1,3,4,7745.61,5483.88,5564.84,8330.65,5564.64,4671.1,6353.31,5007.62,0.30451,
15,1,3,5,6402.71,4563.16,5739.17,5959.39,5577.27,6256.09,6069.37,6179.83,0.292169,
15,1,3,6,6402.71,4563.16,5739.17,5959.39,5577.27,6256.09,6069.37,6179.83,0.292169,
15,1,3,7,6402.71,4563.16,5739.17,5959.39,5577.27,6256.09,6069.37,6179.83,0.292169,
15,1,3,8,6402.71,4563.16,5739.17,5959.39,5577.27,6256.09,6069.37,6179.83,0.292169,
15,1,3,9,6402.71,4563.16,5739.17,5959.39,5577.27,6256.09,6069.37,6179.83,0.292169,
15,1,3,10,6402.71,4563.16,5739.17,5959.39,5577.27,6256.09,6069.37,6179.83,0.292169,
,,,,,,,,,,,,,=STDEV.S(M113:M122),
,,,,,,,,,,,,,,
Test_3: Mean energy flux for changing temperatures. Change TL from 1 to 100 and let TR be 1.10 times TL.,,,,,,,,,,,,,,
15,1,1.1,1,192.652,-48.3147,433.403,424.193,-0.917537,232.227,389.067,330.027,0.0122021,
15,1,1.1,2,192.652,-48.3147,433.403,424.193,-0.917537,232.227,389.067,330.027,0.0122021,
15,1,1.1,3,550.836,268.546,298.137,518.04,-794.727,186.382,637.012,775.378,0.0152475,
15,1,1.1,4,550.836,268.546,298.137,518.04,-794.727,186.382,637.012,775.378,0.0152475,
15,1,1.1,5,550.836,268.546,298.137,518.04,-794.727,186.382,637.012,775.378,0.0152475,
15,1,1.1,6,550.836,268.546,298.137,518.04,-794.727,186.382,637.012,775.378,0.0152475,
15,1,1.1,7,550.836,268.546,298.137,518.04,-794.727,186.382,637.012,775.378,0.0152475,
15,1,1.1,8,550.836,268.546,298.137,518.04,-794.727,186.382,637.012,775.378,0.0152475,
15,1,1.1,9,550.836,268.546,298.137,518.04,-794.727,186.382,637.012,775.378,0.0152475,
15,1,1.1,10,550.836,268.546,298.137,518.04,-794.727,186.382,637.012,775.378,0.0152475,
,,,,,,,,,,,,,=STDEV.S(M126:M135),
,,,,,,,,,,,,,,
15,6,6.6,1,2115.05,5819.77,3298.88,3683.12,-2096.52,4023.42,3860.62,3247.83,0.149701,
15,6,6.6,2,2115.05,5819.77,3298.88,3683.12,-2096.52,4023.42,3860.62,3247.83,0.149701,
15,6,6.6,3,6358.49,4936.07,118.09,3894.44,1461.94,-75.3156,4084.63,667.897,0.134039,
15,6,6.6,4,6358.49,4936.07,118.09,3894.44,1461.94,-75.3156,4084.63,667.897,0.134039,
15,6,6.6,5,6358.49,4936.07,118.09,3894.44,1461.94,-75.3156,4084.63,667.897,0.134039,
15,6,6.6,6,6358.49,4936.07,118.09,3894.44,1461.94,-75.3156,4084.63,667.897,0.134039,
15,6,6.6,7,6358.49,4936.07,118.09,3894.44,1461.94,-75.3156,4084.63,667.897,0.134039,
15,6,6.6,8,2434.28,2157.68,-2857.93,2265.67,1699.6,6248.18,4569.57,-818.128,0.0981182,
15,6,6.6,9,2434.28,2157.68,-2857.93,2265.67,1699.6,6248.18,4569.57,-818.128,0.0981182,
15,6,6.6,10,2434.28,2157.68,-2857.93,2265.67,1699.6,6248.18,4569.57,-818.128,0.0981182,
,,,,,,,,,,,,,=STDEV.S(M138:M147),
,,,,,,,,,,,,,,
15,11,12.1,1,7317.84,10188.8,7335.33,20540.7,12772.9,11789.2,14452.2,14791.8,0.61993,
15,11,12.1,2,7317.84,10188.8,7335.33,20540.7,12772.9,11789.2,14452.2,14791.8,0.61993,
15,11,12.1,3,-1669.95,3553.87,1279.74,-3225.96,4652.54,-443.853,7535.11,13545,0.157666,
15,11,12.1,4,-1669.95,3553.87,1279.74,-3225.96,4652.54,-443.853,7535.11,13545,0.157666,
15,11,12.1,5,-1669.95,3553.87,1279.74,-3225.96,4652.54,-443.853,7535.11,13545,0.157666,
15,11,12.1,6,-1669.95,3553.87,1279.74,-3225.96,4652.54,-443.853,7535.11,13545,0.157666,
15,11,12.1,7,25073.5,10264.4,15467.8,5717.16,8969.09,-4292.26,-5854.6,694.811,0.350249,
15,11,12.1,8,25073.5,10264.4,15467.8,5717.16,8969.09,-4292.26,-5854.6,694.811,0.350249,
15,11,12.1,9,25073.5,10264.4,15467.8,5717.16,8969.09,-4292.26,-5854.6,694.811,0.350249,
15,11,12.1,10,25073.5,10264.4,15467.8,5717.16,8969.09,-4292.26,-5854.6,694.811,0.350249,
,,,,,,,,,,,,,=STDEV.S(M150:M159),
,,,,,,,,,,,,,,
Rate Function: sqrt(x+y),,,,,,,,,,,,,,
Test_1: Mean energy flux for changing length of the chain. Let N change from 2 to 100.,,,,,,,,,,,,,,
15,1,2,1,19034.1,19169.1,21230,22355.6,19698.4,20468.6,21531,19187.1,1.01671,
15,1,2,2,19034.1,19169.1,21230,22355.6,19698.4,20468.6,21531,19187.1,1.01671,
15,1,2,3,19034.1,19169.1,21230,22355.6,19698.4,20468.6,21531,19187.1,1.01671,
15,1,2,4,19034.1,19169.1,21230,22355.6,19698.4,20468.6,21531,19187.1,1.01671,
15,1,2,5,20882.6,21723.4,19949.4,19569.2,21026.4,20611.1,19654.2,19810.9,1.02017,
15,1,2,6,20882.6,21723.4,19949.4,19569.2,21026.4,20611.1,19654.2,19810.9,1.02017,
15,1,2,7,20882.6,21723.4,19949.4,19569.2,21026.4,20611.1,19654.2,19810.9,1.02017,
15,1,2,8,21227.7,20356.2,18165.6,19342.3,21053.6,19719.2,18909.4,20256.8,0.993943,
15,1,2,9,21227.7,20356.2,18165.6,19342.3,21053.6,19719.2,18909.4,20256.8,0.993943,
15,1,2,10,21227.7,20356.2,18165.6,19342.3,21053.6,19719.2,18909.4,20256.8,0.993943,
,,,,,,,,,,,,,=STDEV.S(M164:M173),
,,,,,,,,,,,,,,
20,1,2,1,19622.2,19723,18382,19198.1,22798.4,19966.1,20093.9,19791.1,0.997342,
20,1,2,2,19622.2,19723,18382,19198.1,22798.4,19966.1,20093.9,19791.1,0.997342,
20,1,2,3,19622.2,19723,18382,19198.1,22798.4,19966.1,20093.9,19791.1,0.997342,
20,1,2,4,19874.8,18905.1,19484.7,17361.5,19329.8,19724.6,20851.9,19590.4,0.969518,
20,1,2,5,19874.8,18905.1,19484.7,17361.5,19329.8,19724.6,20851.9,19590.4,0.969518,
20,1,2,6,19871,22390.5,19596.2,19053.7,19142.2,18660.8,19218.3,19033.4,0.981039,
20,1,2,7,19871,22390.5,19596.2,19053.7,19142.2,18660.8,19218.3,19033.4,0.981039,
20,1,2,8,19871,22390.5,19596.2,19053.7,19142.2,18660.8,19218.3,19033.4,0.981039,
20,1,2,9,19139.2,19024.7,21222.4,21954.1,21864.5,20532.1,19040.5,20253.5,1.01894,
20,1,2,10,19139.2,19024.7,21222.4,21954.1,21864.5,20532.1,19040.5,20253.5,1.01894,
,,,,,,,,,,,,,=STDEV.S(M176:M185),
,,,,,,,,,,,,,,
25,1,2,1,16067.7,20189.3,19192.5,20215.5,18951.4,20275,18170.5,18454.6,0.946978,
25,1,2,2,16067.7,20189.3,19192.5,20215.5,18951.4,20275,18170.5,18454.6,0.946978,
25,1,2,3,20066,18187,18392.6,18166.9,19465.3,18137.5,21745.5,21028.7,0.969935,
25,1,2,4,20066,18187,18392.6,18166.9,19465.3,18137.5,21745.5,21028.7,0.969935,
25,1,2,5,18254.9,19756.2,16773.2,20052.4,21146.9,19752.6,17104.1,18022.2,0.942892,
25,1,2,6,18254.9,19756.2,16773.2,20052.4,21146.9,19752.6,17104.1,18022.2,0.942892,
25,1,2,7,20996.2,20391.3,19654.1,21072.9,19717.7,20144.1,21489.5,19774.5,1.02025,
25,1,2,8,20996.2,20391.3,19654.1,21072.9,19717.7,20144.1,21489.5,19774.5,1.02025,
25,1,2,9,18291.3,19185.6,22141.7,19281.8,17002,17466.1,18951.2,18685.3,0.943781,
25,1,2,10,18291.3,19185.6,22141.7,19281.8,17002,17466.1,18951.2,18685.3,0.943781,
,,,,,,,,,,,,,=STDEV.S(M188:M197),
,,,,,,,,,,,,,,
30,1,2,1,22153.6,19109.5,23878.7,18816.1,18602,19075.5,15589,18114.6,0.970869,
30,1,2,2,22153.6,19544.4,16574.4,19283.9,19833.7,20770.9,20751.3,21520.9,1.00271,
30,1,2,3,20965,22458.6,19322.1,21736.4,20154,20080,19317.5,16068.6,1.00064,
30,1,2,4,20965,22458.6,19322.1,21736.4,20154,20080,19317.5,16068.6,1.00064,
30,1,2,5,19179,20957.5,21356.1,20365,22098,20868.7,18101.5,20978.4,1.0244,
30,1,2,6,19179,20957.5,21356.1,20365,22098,20868.7,18101.5,20978.4,1.0244,
30,1,2,7,20624.6,17580.3,21359.7,21002.2,19264.1,22347.3,18810.3,19260.9,1.00156,
30,1,2,8,18102.3,20435.8,22870.2,18559.8,19463.1,19748.5,15030.3,19863,0.962956,
30,1,2,9,18102.3,20435.8,22870.2,18559.8,19463.1,19748.5,15030.3,19863,0.962956,
30,1,2,10,22255.1,15543.8,21545.3,21744.2,19345.1,19691.5,22044.3,17617,0.998664,
,,,,,,,,,,,,,=STDEV.S(M200:M209),
,,,,,,,,,,,,,,
35,1,2,1,18515,19640.2,19050.1,18397.1,20670.3,19578,17965.1,20764,0.966124,
35,1,2,2,21342.5,19093.1,18725,19060.1,17810.9,23276.9,19879.6,18633.7,0.986386,
35,1,2,3,17194.9,17673.6,19470.3,20040.1,17818.7,17468.9,19316.1,21916,0.943116,
35,1,2,4,17194.9,17673.6,19470.3,20040.1,17818.7,17468.9,19316.1,21916,0.943116,
35,1,2,5,21357.6,16794.7,23900.1,20518.8,16805.9,20881.9,21812.6,19264.8,1.00835,
35,1,2,6,21218.1,19807.5,21022.1,17324.9,21248.3,21117.5,19347.1,23142.1,1.02642,
35,1,2,7,19811.8,17385.9,19400.6,18845,19696.7,20043.2,19599.5,20223.6,0.968789,
35,1,2,8,19811.8,17385.9,19400.6,18845,19696.7,20043.2,19599.5,20223.6,0.968789,
35,1,2,9,21196.6,21206.3,19787.7,19402.1,15905.9,22486.5,20155.6,18088.4,0.988932,
35,1,2,10,19275.8,19357.7,18711,19376.2,19554.8,20405.5,21028.4,20585.6,0.989343,
,,,,,,,,,,,,,=STDEV.S(M212:M221),
,,,,,,,,,,,,,,
40,1,2,1,15343.6,19624.5,20514.9,19766.7,16176.5,20918.3,18907.1,20366.1,0.94761,
40,1,2,2,21575.9,19563,17651.5,19403.6,22021.5,20672,20087.9,17395,0.989814,
40,1,2,3,24642.7,19485.1,19035.3,20835.8,20965.6,15491.2,18738.5,20914.1,1.00068,
40,1,2,4,18941.6,21311.4,20668.8,20324,18454.2,19445.2,20533.6,17852.6,0.984571,
40,1,2,5,21148.8,17125.3,19676.2,22441.1,21499.4,17857.2,19614.2,17765,0.982045,
40,1,2,6,21148.8,17125.3,19676.2,22441.1,21499.4,17857.2,19614.2,17765,0.982045,
40,1,2,7,18791.6,19982.1,17918,21827.5,18565.7,18737.8,22893,18083.5,0.979996,
40,1,2,8,22958.1,17874.9,19917.7,16887.6,17257.1,17458,21665.9,20434,0.965333,
40,1,2,9,22464.1,20786.4,17623.7,21273.7,23226.7,17405.4,17084.3,18333.2,0.988734,
40,1,2,10,19469.2,17983.9,21722.8,22813.8,17920.3,18666,22086,20797.7,1.00912,
,,,,,,,,,,,,,=STDEV.S(M224:M233),
,,,,,,,,,,,,,,
Test_2: Mean energy flux for changing difference of boundary temperatures. Fix TL = 1 and change TR from 1.5 to 10.0.,,,,,,,,,,,,,,
15,1,1.5,1,10477.3,8095.5,9218.85,8588.51,8094.85,8208.83,8949.63,8206.9,0.436502,
15,1,1.5,2,7975.12,8078.4,9801.82,9520.11,7501.94,10717,7278.43,9043.27,0.436975,
